iter	Passed	Remaining
612	3674	2320
613	3680	2313
614	3686	2307
615	3691	2301
616	3697	2294
617	3702	2288
618	3708	2282
619	3713	2276
620	3719	2270
621	3725	2263
622	3730	2257
623	3736	2251
624	3741	2245
625	3748	2239
626	3753	2233
627	3758	2226
628	3763	2219
629	3769	2213
630	3775	2207
631	3780	2201
632	3786	2195
633	3791	2188
634	3797	2182
635	3803	2177
636	3810	2171
637	3816	2165
638	3822	2159
639	3829	2153
640	3835	2148
641	3842	2142
642	3848	2136
643	3854	2130
644	3861	2125
645	3868	2120
646	3874	2114
647	3880	2108
648	3886	2101
649	3892	2095
650	3898	2089
651	3903	2083
652	3909	2077
653	3915	2071
654	3920	2065
655	3926	2058
656	3931	2052
657	3936	2046
658	3942	2039
659	3947	2033
660	3953	2027
661	3959	2021
662	3965	2015
663	3971	2009
664	3977	2003
665	3983	1997
666	3989	1991
667	3995	1985
668	4000	1979
669	4006	1973
670	4012	1967
671	4017	1960
672	4023	1954
673	4029	1948
674	4034	1942
675	4039	1936
676	4045	1930
677	4051	1923
678	4056	1917
679	4062	1911
680	4067	1905
681	4073	1899
682	4079	1893
683	4084	1887
684	4090	1880
685	4095	1874
686	4101	1868
687	4106	1862
688	4112	1856
689	4117	1850
690	4123	1844
691	4129	1837
692	4134	1831
693	4140	1825
694	4146	1819
695	4151	1813
696	4157	1807
697	4162	1801
698	4168	1795
699	4174	1788
700	4179	1782
701	4185	1776
702	4191	1770
703	4196	1764
704	4201	1758
705	4207	1752
706	4213	1746
707	4218	1739
708	4223	1733
709	4229	1727
710	4234	1721
711	4240	1715
712	4246	1709
713	4251	1702
714	4257	1696
715	4262	1690
716	4268	1684
717	4274	1678
718	4279	1672
719	4285	1666
720	4290	1660
721	4295	1654
722	4301	1648
723	4307	1642
724	4313	1635
725	4318	1629
726	4324	1623
727	4329	1617
728	4335	1611
729	4341	1605
730	4346	1599
731	4352	1593
732	4357	1587
733	4363	1581
734	4368	1575
735	4374	1569
736	4380	1563
737	4387	1557
738	4393	1551
739	4399	1545
740	4406	1540
741	4412	1534
742	4418	1528
743	4424	1522
744	4430	1516
745	4436	1510
746	4443	1504
747	4450	1499
748	4457	1493
749	4462	1487
750	4468	1481
751	4474	1475
752	4480	1469
753	4485	1463
754	4491	1457
755	4497	1451
756	4502	1445
757	4508	1439
758	4513	1433
759	4519	1427
760	4525	1421
761	4530	1415
762	4536	1409
763	4542	1403
764	4547	1397
765	4553	1391
766	4559	1385
767	4564	1378
768	4570	1372
769	4575	1366
770	4581	1360
771	4587	1354
772	4592	1348
773	4598	1342
774	4604	1336
775	4608	1330
776	4614	1324
777	4620	1318
778	4625	1312
779	4631	1306
780	4637	1300
781	4643	1294
782	4648	1288
783	4654	1282
784	4659	1276
785	4665	1270
786	4670	1264
787	4675	1257
788	4681	1251
789	4687	1245
790	4692	1239
791	4698	1233
792	4703	1227
793	4709	1221
794	4714	1215
795	4720	1209
796	4726	1203
797	4731	1197
798	4737	1191
799	4743	1185
800	4748	1179
801	4754	1173
802	4760	1167
803	4765	1161
804	4771	1155
